1708140803.772515 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  4.3,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  4.3,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  8.7, 26.1,  0.0;  0.0,  0.0,  0.0; 95.7,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  4.3,  4.3,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  4.3,  0.0,  0.0;  0.0,  4.2,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;
1708140804.816125 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  2.9,  0.0;  0.0,  0.0,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  6.7,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;
1708140805.859887 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  2.9,  0.0; 99.0,  1.0,  0.0;  0.0,  0.0,  0.0;  1.9,  3.8,  0.0;  0.0,  2.9,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.9,  0.0;
1708140806.904013 (us,sy,ni;)[]  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  3.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.9,  1.9,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  1.9,  0.0;  0.0,  3.8,  0.0;  3.8,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  1.9,  0.0;
1708140807.947816 (us,sy,ni;)[]  0.0,  2.9,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  7.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  2.9,  0.0;  1.0,  0.0,  0.0; 99.0,  1.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0; 22.6,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  7.6,  0.0;
1708140808.991976 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  1.9,  0.0;  0.0,  1.0,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.9,  5.8,  0.0;
1708140810.036955 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  4.9,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  2.9,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  2.9,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  5.8,  0.0;
1708140811.081347 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  5.1,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.9,  2.9,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  5.7,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  1.0,  0.0,  0.0;  0.0,  1.9,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  6.7,  0.0;
1708140812.125532 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  5.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  2.9,  0.0;  0.0,  0.0,  0.0; 99.0,  1.0,  0.0;  0.0,  0.0,  0.0;  3.9,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  1.0,  0.0,  0.0; 10.6,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.9,  0.9,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  3.8,  0.0;
1708140813.169906 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  1.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.9,  2.9,  0.0;  0.0,  0.0,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  2.9,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;
1708140814.213779 (us,sy,ni;)[]  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  5.1,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  1.0,  0.0;  1.0,  2.9,  0.0;100.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  6.7,  0.0;  1.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;  0.0,  0.0,  0.0;
