1708140731.711486 P  %CPU     PID USER      PR  NI    VIRT    RES    SHR S  %MEM     TIME+ COMMAND
1708140783.294594 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:51.80 test-cpu-determinism.clogt.exe
1708140784.344512 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:52.85 test-cpu-determinism.clogt.exe
1708140785.392461 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:53.90 test-cpu-determinism.clogt.exe
1708140786.448512 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:54.95 test-cpu-determinism.clogt.exe
1708140787.508376 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:56.01 test-cpu-determinism.clogt.exe
1708140788.554403 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:57.06 test-cpu-determinism.clogt.exe
1708140789.601633 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   0:58.11 test-cpu-determinism.clogt.exe
1708140790.653259 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   0:59.15 test-cpu-determinism.clogt.exe
1708140791.708249 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:00.21 test-cpu-determinism.clogt.exe
1708140792.763162 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:01.26 test-cpu-determinism.clogt.exe
1708140793.811801 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:02.31 test-cpu-determinism.clogt.exe
1708140794.864724 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:03.37 test-cpu-determinism.clogt.exe
1708140795.917609 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:04.42 test-cpu-determinism.clogt.exe
1708140796.984004 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:05.48 test-cpu-determinism.clogt.exe
1708140798.043515 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:06.54 test-cpu-determinism.clogt.exe
1708140799.091144 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:07.59 test-cpu-determinism.clogt.exe
1708140800.144908 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:08.65 test-cpu-determinism.clogt.exe
1708140801.191713 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:09.70 test-cpu-determinism.clogt.exe
1708140802.238634 4  99.0   72353 root       0 -20    8380   1124   1020 R   0.0   1:10.74 test-cpu-determinism.clogt.exe
1708140803.295489 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:11.80 test-cpu-determinism.clogt.exe
1708140804.344998 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:12.85 test-cpu-determinism.clogt.exe
1708140805.394108 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:13.90 test-cpu-determinism.clogt.exe
1708140806.444846 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:14.95 test-cpu-determinism.clogt.exe
1708140807.511254 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:16.01 test-cpu-determinism.clogt.exe
1708140808.565903 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:17.07 test-cpu-determinism.clogt.exe
1708140809.618650 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:18.12 test-cpu-determinism.clogt.exe
1708140810.666806 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:19.17 test-cpu-determinism.clogt.exe
1708140811.719398 4  99.1   72353 root       0 -20    8380   1124   1020 R   0.0   1:20.22 test-cpu-determinism.clogt.exe
1708140812.770720 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:21.27 test-cpu-determinism.clogt.exe
1708140813.818494 4  99.9   72353 root       0 -20    8380   1124   1020 R   0.0   1:22.32 test-cpu-determinism.clogt.exe
